*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=splittingTheFlap_Mega2560Shield_PCB1_11126280
*Date=10:58:12
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
113;;;1.88148;-54.9437;0;Bottom;Via67
114;;;8.65481;-58.8948;0;Bottom;Via32
115;;;42.5322;-70.7716;0;Bottom;Via22
116;;;23.8574;-140.716;0;Bottom;TXT4
117;;rj45-8;90.5459;-7.57726;0;Bottom;U32
118;;;64.3466;-129.356;0;Bottom;Via16
119;;;90.9291;-26.5469;0;Bottom;TXT1
120;;;24.415;-123.077;0;Bottom;TXT4
121;;;9.03101;-111.012;0;Bottom;Via59
122;;;76.4352;-47.0884;0;Bottom;TXT4
123;;rj45-8;6.39685;-91.8677;90;Bottom;U24
124;;;14.0639;-39.8214;0;Bottom;Via26
125;;rj45-8;61.5242;-119.902;90;Bottom;U30
126;;;25.0459;-12.4146;0;Bottom;TXT4
127;;;76.8585;-8.00065;0;Bottom;TXT4
128;;;80.0792;-125.586;0;Bottom;TXT4
129;;;97.1783;-134.248;0;Bottom;Via52
130;;;72.6251;-2.77962;0;Bottom;TXT4
131;;;25.0708;-24.934;0;Bottom;TXT4
132;;;82.4322;-52.9447;0;Bottom;Via41
133;;;80.057;-136.976;0;Bottom;TXT4
134;220;THT;90.6873;-26.6274;0;Bottom;R1
135;;;17.4506;-137.682;0;Bottom;TXT4
136;;;17.4506;-45.8185;0;Bottom;TXT4
137;;;72.7662;-21.4063;0;Bottom;TXT4
138;;rj45-8;6.39685;-119.902;90;Bottom;U22
139;;;72.2488;-15.3386;0;Bottom;Via49
140;;;25.0459;-125.021;0;Bottom;TXT4
141;;;89.9763;-15.3808;0;Bottom;TXT3
142;;;17.4506;-119.62;0;Bottom;TXT4
143;;;96.1438;-144.502;-90;Bottom;TXT1
144;;;17.4506;-72.3474;0;Bottom;TXT4
145;;rj45-8;90.687;-41.0209;180;Bottom;U34
146;;;47.0839;-121.713;0;Bottom;Via11
147;;;75.9482;-49.064;0;Bottom;TXT4
148;;;64.5817;-1.65083;0;Bottom;Via48
149;;;24.3444;-136.765;0;Bottom;TXT4
150;;;49.7652;-38.9041;-90;Bottom;TXT1
151;;;93.6977;-51.651;0;Bottom;Via50
152;;rj45-8;6.39685;-72.6766;90;Bottom;U23
153;;;78.0578;-44.3369;0;Bottom;Via43
154;;;91.4399;-41.8675;0;Bottom;Via47
155;;;23.744;-95.8424;0;Bottom;TXT4
156;;;15.4281;-19.9481;0;Bottom;Via37
157;;;15.6161;-34.3415;0;Bottom;Via36
158;;;95.1624;-95.3687;0;Bottom;Via53
159;;;5.36212;-102.169;0;Bottom;Via60
160;;;72.484;-137.4;0;Bottom;TXT4
